Timestamp,hash-rate
2016-02-20 00:00:00,1284099.85113956
2016-02-21 00:00:00,1024028.99521256
2016-02-22 00:00:00,1056537.85220343
2016-02-23 00:00:00,1097173.92344203
2016-02-24 00:00:00,999647.352469403
2016-02-25 00:00:00,1178446.06591922
2016-02-26 00:00:00,1219082.13715781
2016-02-27 00:00:00,1064665.06645115
2016-02-28 00:00:00,1210954.92291009
2016-02-29 00:00:00,1097173.92344203
2016-03-01 00:00:00,1040283.423708
2016-03-02 00:00:00,1275972.63689184
2016-03-03 00:00:00,1080919.49494659
2016-03-04 00:00:00,1235336.56565325
2016-03-05 00:00:00,1292227.06538728
2016-03-06 00:00:00,1094688.8032164
2016-03-07 00:00:00,1220696.14747152
2016-03-08 00:00:00,1055311.50813667
2016-03-09 00:00:00,1299450.73763098
2016-03-10 00:00:00,1267948.9015672
2016-03-11 00:00:00,1283699.81959909
2016-03-12 00:00:00,1141941.55731207
2016-03-13 00:00:00,1031685.13108884
2016-03-14 00:00:00,1189194.31140774
2016-03-15 00:00:00,1197069.77042369
2016-03-16 00:00:00,1338828.0327107
2016-03-17 00:00:00,1063186.96715262
2016-03-18 00:00:00,1135311.13692768
2016-03-19 00:00:00,1110630.46003795
2016-03-20 00:00:00,1242260.73678319
2016-03-21 00:00:00,1036588.42936875
2016-03-22 00:00:00,1225806.95219003
2016-03-23 00:00:00,1242260.73678319
2016-03-24 00:00:00,1242260.73678319
2016-03-25 00:00:00,1192899.38300372
2016-03-26 00:00:00,1209353.16759688
2016-03-27 00:00:00,1258714.52137634
2016-03-28 00:00:00,1168218.70611399
2016-03-29 00:00:00,1398571.69041816
2016-03-30 00:00:00,1308075.8751558
2016-03-31 00:00:00,1028361.53707217
2016-04-01 00:00:00,1136310.01873561
2016-04-02 00:00:00,1244135.05700979
2016-04-03 00:00:00,1219252.35586959
2016-04-04 00:00:00,1360254.32899737
2016-04-05 00:00:00,1235840.82329639
2016-04-06 00:00:00,1285606.22557678
2016-04-07 00:00:00,1210958.12215619
2016-04-08 00:00:00,1169486.9535892
2016-04-09 00:00:00,1343665.86157057
2016-04-10 00:00:00,1443196.66613135
2016-04-11 00:00:00,1252429.29072319
2016-04-12 00:00:00,1260723.52443658
2016-04-13 00:00:00,1302194.69300358
2016-04-14 00:00:00,1465554.23046872
2016-04-15 00:00:00,1287911.29344221
2016-04-16 00:00:00,1270146.99973955
2016-04-17 00:00:00,1358968.46825281
2016-04-18 00:00:00,1199089.82492895
2016-04-19 00:00:00,1332322.02769883
2016-04-20 00:00:00,1465554.23046307
2016-04-21 00:00:00,1341204.17454499
2016-04-22 00:00:00,1270146.99973466
2016-04-23 00:00:00,1279029.14658595
2016-04-24 00:00:00,1172443.38437046
2016-04-25 00:00:00,1128032.650114
2016-04-26 00:00:00,1341204.17454499
2016-04-27 00:00:00,1145796.94381658
2016-04-28 00:00:00,1207843.18309188
2016-04-29 00:00:00,1403229.58035675
2016-04-30 00:00:00,1296655.18184864
2016-05-01 00:00:00,1376585.98072972
2016-05-02 00:00:00,1394348.38048107
2016-05-03 00:00:00,1341061.18122702
2016-05-04 00:00:00,1492041.5791135
2016-05-05 00:00:00,1385467.1806054
2016-05-06 00:00:00,1438754.37985945
2016-05-07 00:00:00,1332179.98135134
2016-05-08 00:00:00,1447635.57973513
2016-05-09 00:00:00,1536447.57849188
2016-05-10 00:00:00,1403229.58035675
2016-05-11 00:00:00,1284309.11258538
2016-05-12 00:00:00,1342247.86954412
2016-05-13 00:00:00,1467781.84295472
2016-05-14 00:00:00,1390530.16700974
2016-05-15 00:00:00,1342247.86954412
2016-05-16 00:00:00,1361560.78853037
2016-05-17 00:00:00,1361560.78853037
2016-05-18 00:00:00,1487094.76194097
2016-05-19 00:00:00,1168431.5986679
2016-05-20 00:00:00,1438812.46447535
2016-05-21 00:00:00,1361560.78853037
2016-05-22 00:00:00,1776788.54673466
2016-05-23 00:00:00,1747819.1682553
2016-05-24 00:00:00,1456454.92275853
2016-05-25 00:00:00,1377192.06981929
2016-05-26 00:00:00,1357376.35658448
2016-05-27 00:00:00,1377192.06981929
2016-05-28 00:00:00,1317744.93011486
2016-05-29 00:00:00,1456454.92275853
2016-05-30 00:00:00,1436639.20952372
2016-05-31 00:00:00,1258297.79041043
2016-06-01 00:00:00,1426731.35290631
2016-06-02 00:00:00,1367284.21320188
2016-06-03 00:00:00,1406915.6396715
2016-06-04 00:00:00,1179034.93747119
2016-06-05 00:00:00,1694243.48157625
2016-06-06 00:00:00,1684335.62495884
2016-06-07 00:00:00,1406915.6396715
2016-06-08 00:00:00,1403462.33970866
2016-06-09 00:00:00,1608133.93091617
2016-06-10 00:00:00,1403462.33970866
2016-06-11 00:00:00,1520417.53468438
2016-06-12 00:00:00,1422954.87220461
2016-06-13 00:00:00,1569148.86592427
2016-06-14 00:00:00,1296253.41098092
2016-06-15 00:00:00,1500925.00218843
2016-06-16 00:00:00,1452193.67094854
2016-06-17 00:00:00,1452193.67094854
2016-06-18 00:00:00,1549656.33342831
2016-06-19 00:00:00,1725089.1258919
2016-06-20 00:00:00,1598387.6646682
2016-06-21 00:00:00,1551383.97529172
2016-06-22 00:00:00,1343144.51552102
2016-06-23 00:00:00,1457676.2183949
2016-06-24 00:00:00,1353556.48850955
2016-06-25 00:00:00,1728387.51609681
2016-06-26 00:00:00,1530560.02931465
2016-06-27 00:00:00,1530560.02931465
2016-06-28 00:00:00,1551383.97529172
2016-06-29 00:00:00,1520148.05632611
2016-06-30 00:00:00,1561795.94828025
2016-07-01 00:00:00,1634679.7592
2016-07-02 00:00:00,1551383.97529172
2016-07-03 00:00:00,1603443.84023439
2016-07-04 00:00:00,1601825.83564846
2016-07-05 00:00:00,1538177.1269472
2016-07-06 00:00:00,1485136.53636281
2016-07-07 00:00:00,1463920.30012906
2016-07-08 00:00:00,1538177.1269472
2016-07-09 00:00:00,1580609.5994147
2016-07-10 00:00:00,1654866.42623285
2016-07-11 00:00:00,1516960.89071344
