Timestamp,estimated-transaction-volume-usd
2016-02-20 00:00:00,164829105.586379
2016-02-21 00:00:00,155130149.064769
2016-02-22 00:00:00,175824716.044392
2016-02-23 00:00:00,190245913.605889
2016-02-24 00:00:00,166459833.649415
2016-02-25 00:00:00,158802759.624324
2016-02-26 00:00:00,161556646.617677
2016-02-27 00:00:00,159716131.267112
2016-02-28 00:00:00,194346790.470141
2016-02-29 00:00:00,251149091.800806
2016-03-01 00:00:00,280786700.504114
2016-03-02 00:00:00,257919589.155475
2016-03-03 00:00:00,227124993.38604
2016-03-04 00:00:00,177618220.523574
2016-03-05 00:00:00,225966550.392184
2016-03-06 00:00:00,119212822.939554
2016-03-07 00:00:00,145282392.78699
2016-03-08 00:00:00,128237173.938678
2016-03-09 00:00:00,131796667.350886
2016-03-10 00:00:00,139316581.780296
2016-03-11 00:00:00,142675662.970307
2016-03-12 00:00:00,105089496.816756
2016-03-13 00:00:00,88371198.5967914
2016-03-14 00:00:00,128173794.62884
2016-03-15 00:00:00,131369366.52006
2016-03-16 00:00:00,123888279.520397
2016-03-17 00:00:00,127657850.234619
2016-03-18 00:00:00,140011959.369272
2016-03-19 00:00:00,86792272.3163921
2016-03-20 00:00:00,86726517.2391053
2016-03-21 00:00:00,117100197.613189
2016-03-22 00:00:00,132592024.246167
2016-03-23 00:00:00,126621935.841238
2016-03-24 00:00:00,161667115.688744
2016-03-25 00:00:00,134672579.091353
2016-03-26 00:00:00,107992126.100214
2016-03-27 00:00:00,125905670.204794
2016-03-28 00:00:00,140252685.928324
2016-03-29 00:00:00,160761085.527703
2016-03-30 00:00:00,131608349.643574
2016-03-31 00:00:00,140898124.328616
2016-04-01 00:00:00,134537500.663416
2016-04-02 00:00:00,105581306.048956
2016-04-03 00:00:00,88435716.0739488
2016-04-04 00:00:00,135840299.31944
2016-04-05 00:00:00,154494298.335517
2016-04-06 00:00:00,159685598.931054
2016-04-07 00:00:00,189509815.947242
2016-04-08 00:00:00,138824288.075815
2016-04-09 00:00:00,104520518.007936
2016-04-10 00:00:00,103498756.424225
2016-04-11 00:00:00,131917025.617635
2016-04-12 00:00:00,156860496.804597
2016-04-13 00:00:00,133997232.00094
2016-04-14 00:00:00,118403618.032565
2016-04-15 00:00:00,136158701.120764
2016-04-16 00:00:00,86724178.155167
2016-04-17 00:00:00,89932089.3918493
2016-04-18 00:00:00,116994110.42223
2016-04-19 00:00:00,138151940.617625
2016-04-20 00:00:00,137347264.702688
2016-04-21 00:00:00,154376605.429112
2016-04-22 00:00:00,151831375.296929
2016-04-23 00:00:00,99972059.4620559
2016-04-24 00:00:00,103550332.548332
2016-04-25 00:00:00,170035887.746164
2016-04-26 00:00:00,175051268.341551
2016-04-27 00:00:00,168934334.779151
2016-04-28 00:00:00,164047131.988227
2016-04-29 00:00:00,134148664.050803
2016-04-30 00:00:00,92579744.1214576
2016-05-01 00:00:00,88133002.1639054
2016-05-02 00:00:00,131609777.35059
2016-05-03 00:00:00,128092229.867241
2016-05-04 00:00:00,227678717.626651
2016-05-05 00:00:00,128868344.232237
2016-05-06 00:00:00,150035773.319432
2016-05-07 00:00:00,101694588.467367
2016-05-08 00:00:00,76254668.8041011
2016-05-09 00:00:00,138794017.510208
