Timestamp,output-volume
2016-02-20 00:00:00,4131729.57802008
2016-02-21 00:00:00,4198945.52375477
2016-02-22 00:00:00,4461640.10569616
2016-02-23 00:00:00,3962773.45320111
2016-02-24 00:00:00,3669393.3100093
2016-02-25 00:00:00,3095841.030489
2016-02-26 00:00:00,3286075.11194343
2016-02-27 00:00:00,2530526.51953434
2016-02-28 00:00:00,8486292.93903167
2016-02-29 00:00:00,9924706.54607915
2016-03-01 00:00:00,11003614.9788694
2016-03-02 00:00:00,5716209.1269565
2016-03-03 00:00:00,3528608.92765602
2016-03-04 00:00:00,7461412.16075899
2016-03-05 00:00:00,19515216.2836077
2016-03-06 00:00:00,2011705.87655477
2016-03-07 00:00:00,2900051.67409826
2016-03-08 00:00:00,2311084.8744971
2016-03-09 00:00:00,2065424.29087185
2016-03-10 00:00:00,2439731.62911107
2016-03-11 00:00:00,2364181.04728921
2016-03-12 00:00:00,1829899.06284724
2016-03-13 00:00:00,1621259.9944443
2016-03-14 00:00:00,2416469.22500188
2016-03-15 00:00:00,3177959.03758808
2016-03-16 00:00:00,13343936.3754077
2016-03-17 00:00:00,7984729.7762706
2016-03-18 00:00:00,5239445.10760416
2016-03-19 00:00:00,2190183.07291334
2016-03-20 00:00:00,1773449.03632757
2016-03-21 00:00:00,2041577.7060348
2016-03-22 00:00:00,2235032.30981488
2016-03-23 00:00:00,2066836.88775597
2016-03-24 00:00:00,2286669.22964894
2016-03-25 00:00:00,2113238.61883865
2016-03-26 00:00:00,1505132.4905079
2016-03-27 00:00:00,1737057.95705789
2016-03-28 00:00:00,2086417.65634959
2016-03-29 00:00:00,2116335.5732946
2016-03-30 00:00:00,2032137.5717949
2016-03-31 00:00:00,2188915.91051529
2016-04-01 00:00:00,2181489.10641932
2016-04-02 00:00:00,1758765.06294316
2016-04-03 00:00:00,1561627.97313436
2016-04-04 00:00:00,2132110.88507794
2016-04-05 00:00:00,2257744.57700313
2016-04-06 00:00:00,2397382.26260866
2016-04-07 00:00:00,2739799.39498321
2016-04-08 00:00:00,2728055.14345442
2016-04-09 00:00:00,2249002.68577769
2016-04-10 00:00:00,2005055.24206947
2016-04-11 00:00:00,2571238.48109368
2016-04-12 00:00:00,3495580.00077189
2016-04-13 00:00:00,3218812.19489477
2016-04-14 00:00:00,2964839.21267842
2016-04-15 00:00:00,3822217.79648843
2016-04-16 00:00:00,3051672.78756773
2016-04-17 00:00:00,2619262.39434018
2016-04-18 00:00:00,3962456.69354251
2016-04-19 00:00:00,3705997.5068887
2016-04-20 00:00:00,4077380.51886445
