Timestamp,trade-volume
2016-02-20 00:00:00,2110655.6878
2016-02-21 00:00:00,4799144.763
2016-02-22 00:00:00,4768834.5
2016-02-23 00:00:00,2559334.9832
2016-02-24 00:00:00,4397932.5
2016-02-25 00:00:00,3079156.4304
2016-02-26 00:00:00,2363228.6296
2016-02-27 00:00:00,1957278.3
2016-02-28 00:00:00,1837373.5798
2016-02-29 00:00:00,1493821.132
2016-03-01 00:00:00,3715143.995
2016-03-02 00:00:00,2997796.1748
2016-03-03 00:00:00,2421748.875
2016-03-04 00:00:00,3165320.124
2016-03-05 00:00:00,3108197.628
2016-03-06 00:00:00,6594012.9727
2016-03-07 00:00:00,2359103.5776
2016-03-08 00:00:00,2446224.2007
2016-03-09 00:00:00,2301767.077
2016-03-10 00:00:00,2011814.7324
2016-03-11 00:00:00,2171732.16
2016-03-12 00:00:00,2516555.5253
2016-03-13 00:00:00,1883392.124
2016-03-14 00:00:00,1375653.3565
2016-03-15 00:00:00,1852141.869
2016-03-16 00:00:00,1902534.19
2016-03-17 00:00:00,1700553.6576
2016-03-18 00:00:00,1558879.4349
2016-03-19 00:00:00,2595898.4352
2016-03-20 00:00:00,1185064.8459
2016-03-21 00:00:00,1060913.1582
2016-03-22 00:00:00,1463452.375
2016-03-23 00:00:00,1644474.0104
2016-03-24 00:00:00,2067894.7164
2016-03-25 00:00:00,1153728.3681
2016-03-26 00:00:00,1076681.034
2016-03-27 00:00:00,522917.8752
2016-03-28 00:00:00,2141150.0
2016-03-29 00:00:00,1388498.8674
2016-03-30 00:00:00,2467410.471
2016-03-31 00:00:00,2002365.0658
2016-04-01 00:00:00,1565178.4798
2016-04-02 00:00:00,1558131.7632
2016-04-03 00:00:00,868902.5943
2016-04-04 00:00:00,552085.8367
2016-04-05 00:00:00,1459218.3483
2016-04-06 00:00:00,1668377.9054
2016-04-07 00:00:00,1009133.328
2016-04-08 00:00:00,1347766.5325
2016-04-09 00:00:00,1915407.561
2016-04-10 00:00:00,1510801.723
2016-04-11 00:00:00,741403.575
2016-04-12 00:00:00,1479940.3762
2016-04-13 00:00:00,2585913.5016
2016-04-14 00:00:00,1661294.8845
2016-04-15 00:00:00,1637835.1968
2016-04-16 00:00:00,1893694.131
2016-04-17 00:00:00,795354.4586
2016-04-18 00:00:00,642118.737
2016-04-19 00:00:00,1361332.7
2016-04-20 00:00:00,1653545.2715
2016-04-21 00:00:00,3357182.5246
2016-04-22 00:00:00,2447770.93
2016-04-23 00:00:00,2462251.506
