Timestamp,n-transactions
2021-05-17 01:00:00,250910
2021-05-18 01:00:00,221018
2021-05-19 01:00:00,263419
2021-05-20 01:00:00,228039
2021-05-21 01:00:00,226351
2021-05-22 01:00:00,223800
2021-05-23 01:00:00,194320
2021-05-24 01:00:00,234755
2021-05-25 01:00:00,233644
2021-05-26 01:00:00,230753
2021-05-27 01:00:00,214035
2021-05-28 01:00:00,218311
2021-05-29 01:00:00,198332
2021-05-30 01:00:00,179795
2021-05-31 01:00:00,226469
2021-06-01 01:00:00,234561
2021-06-02 01:00:00,250589
2021-06-03 01:00:00,255621
2021-06-04 01:00:00,236672
2021-06-05 01:00:00,194580
2021-06-06 01:00:00,185305
2021-06-07 01:00:00,235479
2021-06-08 01:00:00,246906
2021-06-09 01:00:00,210911
2021-06-10 01:00:00,252983
2021-06-11 01:00:00,216502
2021-06-12 01:00:00,222774
2021-06-13 01:00:00,187098
2021-06-14 01:00:00,242416
2021-06-15 01:00:00,241861
2021-06-16 01:00:00,252937
2021-06-17 01:00:00,237725
2021-06-18 01:00:00,222918
2021-06-19 01:00:00,187042
2021-06-20 01:00:00,167249
2021-06-21 01:00:00,205050
2021-06-22 01:00:00,196523
2021-06-23 01:00:00,232704
2021-06-24 01:00:00,233278
2021-06-25 01:00:00,218245
2021-06-26 01:00:00,181628
2021-06-27 01:00:00,124640
2021-06-28 01:00:00,217898
2021-06-29 01:00:00,205616
2021-06-30 01:00:00,218734
2021-07-01 01:00:00,230253
2021-07-02 01:00:00,188568
2021-07-03 01:00:00,237463
2021-07-04 01:00:00,171850
2021-07-05 01:00:00,223760
2021-07-06 01:00:00,228279
2021-07-07 01:00:00,221227
2021-07-08 01:00:00,230719
2021-07-09 01:00:00,227511
2021-07-10 01:00:00,187263
2021-07-11 01:00:00,166144
2021-07-12 01:00:00,220269
2021-07-13 01:00:00,229916
2021-07-14 01:00:00,236217
2021-07-15 01:00:00,226234
2021-07-16 01:00:00,223466
2021-07-17 01:00:00,182047
2021-07-18 01:00:00,161122
2021-07-19 01:00:00,226803
2021-07-20 01:00:00,230509
2021-07-21 01:00:00,235680
2021-07-22 01:00:00,230282
2021-07-23 01:00:00,231130
2021-07-24 01:00:00,198091
2021-07-25 01:00:00,174535
2021-07-26 01:00:00,261950
2021-07-27 01:00:00,255221
2021-07-28 01:00:00,251223
2021-07-29 01:00:00,262612
2021-07-30 01:00:00,255417
2021-07-31 01:00:00,207348
2021-08-01 01:00:00,185157
2021-08-02 01:00:00,239277
2021-08-03 01:00:00,246198
2021-08-04 01:00:00,239596
2021-08-05 01:00:00,246175
2021-08-06 01:00:00,260810
2021-08-07 01:00:00,212229
2021-08-08 01:00:00,191623
2021-08-09 01:00:00,252660
2021-08-10 01:00:00,260968
2021-08-11 01:00:00,262437
2021-08-12 01:00:00,250961
2021-08-13 01:00:00,260624
2021-08-14 01:00:00,209074
2021-08-15 01:00:00,186239
2021-08-16 01:00:00,263529
2021-08-17 01:00:00,257766
2021-08-18 01:00:00,247333
2021-08-19 01:00:00,253447
2021-08-20 01:00:00,271837
2021-08-21 01:00:00,219407
2021-08-22 01:00:00,190631
2021-08-23 01:00:00,270736
2021-08-24 01:00:00,263984
2021-08-25 01:00:00,263009
2021-08-26 01:00:00,258590
2021-08-27 01:00:00,256813
2021-08-28 01:00:00,218268
2021-08-29 01:00:00,191650
2021-08-30 01:00:00,250955
2021-08-31 01:00:00,271163
2021-09-01 01:00:00,280865
2021-09-02 01:00:00,289900
2021-09-03 01:00:00,283991
2021-09-04 01:00:00,227732
2021-09-05 01:00:00,205066
2021-09-06 01:00:00,268877
2021-09-07 01:00:00,276624
2021-09-08 01:00:00,270483
2021-09-09 01:00:00,274384
2021-09-10 01:00:00,261371
2021-09-11 01:00:00,218445
2021-09-12 01:00:00,192691
2021-09-13 01:00:00,255970
2021-09-14 01:00:00,268127
2021-09-15 01:00:00,268957
2021-09-16 01:00:00,271223
2021-09-17 01:00:00,271040
2021-09-18 01:00:00,227661
2021-09-19 01:00:00,200516
2021-09-20 01:00:00,270233
2021-09-21 01:00:00,244568
2021-09-22 01:00:00,275235
2021-09-23 01:00:00,268689
2021-09-24 01:00:00,277565
2021-09-25 01:00:00,212575
2021-09-26 01:00:00,195560
2021-09-27 01:00:00,255873
2021-09-28 01:00:00,262292
2021-09-29 01:00:00,241991
2021-09-30 01:00:00,293074
2021-10-01 01:00:00,277042
2021-10-02 01:00:00,259961
2021-10-03 01:00:00,218112
2021-10-04 01:00:00,268955
2021-10-05 01:00:00,312538
2021-10-06 01:00:00,267749
2021-10-07 01:00:00,325875
2021-10-08 01:00:00,280028
2021-10-09 01:00:00,246189
2021-10-10 01:00:00,211506
2021-10-11 01:00:00,280184
2021-10-12 01:00:00,274155
2021-10-13 01:00:00,288916
2021-10-14 01:00:00,282383
2021-10-15 01:00:00,297746
2021-10-16 01:00:00,270052
2021-10-17 01:00:00,215883
2021-10-18 01:00:00,285368
2021-10-19 01:00:00,312018
2021-10-20 01:00:00,291813
2021-10-21 01:00:00,320743
2021-10-22 01:00:00,287550
2021-10-23 01:00:00,223941
2021-10-24 01:00:00,211220
2021-10-25 01:00:00,284680
2021-10-26 01:00:00,294029
2021-10-27 01:00:00,292114
2021-10-28 01:00:00,295558
2021-10-29 01:00:00,305733
2021-10-30 01:00:00,252061
2021-10-31 01:00:00,217435
2021-11-01 00:00:00,293282
2021-11-02 00:00:00,297402
2021-11-03 00:00:00,288746
2021-11-04 00:00:00,289141
2021-11-05 00:00:00,285946
2021-11-06 00:00:00,236233
2021-11-07 00:00:00,226128
2021-11-08 00:00:00,285806
2021-11-09 00:00:00,335411
2021-11-10 00:00:00,301025
2021-11-11 00:00:00,293665
2021-11-12 00:00:00,282049
2021-11-13 00:00:00,238634
2021-11-14 00:00:00,224016
2021-11-15 00:00:00,288435
2021-11-16 00:00:00,301103
2021-11-17 00:00:00,290390
2021-11-18 00:00:00,293867
2021-11-19 00:00:00,284719
2021-11-20 00:00:00,249652
2021-11-21 00:00:00,222949
2021-11-22 00:00:00,279165
2021-11-23 00:00:00,283401
