Open,Close,High,Low,Volume,Date
1817.73,1817.73,1817.73,1817.73,,11/07/21
1817.73,1817.73,1817.73,1817.73,,11/06/21
1791.7,1817.73,1818.25,1785.95,,11/05/21
1773.7,1791.15,1798.8,1770.8,,11/04/21
1786.78,1773.55,1787.38,1758.63,,11/03/21
1791.38,1787.08,1796,1786.2,,11/02/21
1780.59,1791.44,1795.5,1779.1,,11/01/21
