Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-11-01,61200.2257518147,61348.1708243114,62331.4299049771,59520.5050661565
BTC,2021-11-02,63127.861219211,60960.9461150911,63803.4103039697,60853.243489191
BTC,2021-11-03,62876.2779277456,63270.8483504936,63550.9384753445,60531.8079527346
BTC,2021-11-04,61439.8250614365,62867.7800742371,62876.3706847065,60909.3861633303
BTC,2021-11-05,61045.2003893586,61689.1796684785,62367.0441120621,60780.9805027862
BTC,2021-11-06,61412.9978349184,61059.9167468627,61559.9702004367,60168.1992281293
BTC,2021-11-07,63055.9580303948,61540.1639228232,63120.3269195862,61410.0685624871
