Date,Price,Open,High,Low,Vol.,Change %
2-Jan-09,"1,896.80","1,871.90","1,899.90","1,869.70",-,1.35%
5-Jan-09,"1,871.50","1,855.50","1,874.60","1,851.80",-,0.82%
6-Jan-09,"1,856.20","1,873.80","1,881.60","1,845.40",214.88K,-0.71%
7-Jan-09,"1,869.40","1,862.20","1,876.50","1,851.90",231.02K,1.48%
8-Jan-09,"1,842.10","1,827.00","1,867.40","1,821.10",239.09K,0.26%
9-Jan-09,"1,837.40","1,834.00","1,843.30","1,821.80",227.46K,0.04%
12-Jan-09,"1,836.60","1,827.00","1,837.10","1,825.50",136.72K,0.48%
13-Jan-09,"1,827.90","1,821.50","1,829.90","1,816.00",142.41K,0.33%
14-Jan-09,"1,821.80","1,808.00","1,824.60","1,807.50",139.81K,0.77%
15-Jan-09,"1,807.80","1,805.40","1,815.80","1,792.10",177.71K,0.21%
16-Jan-09,"1,804.10","1,807.40","1,809.50","1,788.50",173.72K,-0.34%
20-Jan-09,"1,810.30","1,800.80","1,812.00","1,794.60",123.02K,0.49%
21-Jan-09,"1,801.50","1,798.90","1,809.70","1,796.20",128.88K,0.28%
22-Jan-09,"1,796.40","1,792.80","1,800.90","1,785.80",139.42K,0.55%
23-Jan-09,"1,786.60","1,799.60","1,800.30","1,780.60",217.15K,-0.47%
26-Jan-09,"1,795.00","1,821.40","1,823.80","1,792.70",206.38K,-2.02%
27-Jan-09,"1,832.00","1,850.70","1,852.60","1,816.40",154.39K,-1.24%
28-Jan-09,"1,855.00","1,846.00","1,856.70","1,836.80",77.99K,0.59%
29-Jan-09,"1,844.20","1,838.30","1,847.20","1,831.90",103.78K,0.55%
30-Jan-09,"1,834.10","1,842.60","1,845.80","1,830.60",68.74K,-0.59%
2-Feb-09,"1,844.90","1,842.90","1,850.80","1,838.40",80.38K,-0.03%
3-Feb-09,"1,845.50","1,816.40","1,846.10","1,811.60",88.81K,1.69%
4-Feb-09,"1,814.90","1,819.80","1,825.20","1,807.20",102.42K,-0.23%
5-Feb-09,"1,819.05","1,815.85","1,822.90","1,812.25",-,0.18%
